date,1. open,2. high,3. low,4. close,5. volume
2018-06-22,6721.3417,6792.2,5936.5666,6718.33,100786.0
2018-06-21,6766.798,6809.26,6558.95,6756.58,31580.0
2018-06-20,6739.6746,6841.81,6566.2998,6736.52,42276.0
2018-06-19,6723.9548,6855.6152,6381.25,6707.5,42215.0
2018-06-18,6454.0727,6834.5805,6381.2794,6453.41,49428.0
2018-06-17,6497.4844,6579.8011,6333.63,6487.92,28275.0
2018-06-16,6401.739,6666.66,6343.4604,6390.6,36588.0
2018-06-15,6642.4155,6708.1,6270.69,6646.1,56934.0
2018-06-14,6304.9359,6723.5562,6120.0,6307.4,91025.0
2018-06-13,6556.1384,6880.76,6132.6823,6557.67,103007.0
2018-06-12,6882.0986,6919.97,6459.2252,6880.61,72640.0
2018-06-11,6772.4431,7498.0,6627.7,6781.17,67526.0
2018-06-10,7497.2385,7686.45,6634.2785,7492.7,96616.0
2018-06-09,7616.6543,7697.0,7463.0694,7618.11,24385.0
2018-06-08,7691.1113,7750.0,7542.3902,7689.28,35607.0
2018-06-07,7657.3082,7755.5297,7482.61,7658.57,37425.0
2018-06-06,7623.1624,7697.474,7360.0,7617.98,46203.0
2018-06-05,7499.6597,7764.44,7376.5325,7488.26,48654.0
2018-06-04,7713.4935,7790.69,7458.8827,7703.67,43710.0
2018-06-03,7637.3893,7775.478,7438.92,7642.0,34983.0
2018-06-02,7523.8338,7697.3513,7348.45,7511.6,41682.0
2018-06-01,7492.7449,7607.9317,7330.22,7492.28,49490.0
2018-05-31,7385.0771,7604.3972,7273.89,7375.73,51176.0
2018-05-30,7470.4118,7566.2093,7026.9,7469.45,58540.0
2018-05-29,7110.3864,7518.009,7050.5771,7112.5,78921.0
2018-05-28,7348.6618,7442.8893,7072.4773,7347.39,80831.0
2018-05-27,7341.0801,7622.87,7234.3481,7335.99,51830.0
2018-05-26,7469.1654,7661.07,7300.1813,7471.18,61746.0
2018-05-25,7580.499,7733.99,7267.24,7586.88,77387.0
2018-05-24,7504.638,8032.01,7316.3192,7502.89,116805.0
2018-05-23,7983.9596,8417.65,7434.185,7984.08,125744.0
2018-05-22,8395.8815,8589.1,7950.028,8391.76,77875.0
2018-05-21,8520.8777,8651.1181,8170.71,8518.48,64031.0
2018-05-20,8228.4359,8596.707,8141.08,8231.2,57416.0
2018-05-19,8237.9305,8415.4183,7929.53,8248.87,54701.0
2018-05-18,8056.2209,8500.0,7923.9503,8067.03,68400.0
2018-05-17,8334.8212,8505.33,7989.9798,8346.59,86017.0
2018-05-16,8439.026,8865.0,8113.4717,8474.99,81303.0
2018-05-15,8672.5391,8900.9,8286.57,8674.36,86649.0
